step_num,elapsed_seconds,loss
0,0.223001,5766736.0
1,0.485002,5514557.0
2,0.743001,5271383.0
3,1.002999,5039930.0
4,1.257002,4820653.5
5,1.513,4613705.0
6,1.764001,4418407.5
7,2.034001,4234128.5
8,2.292,4060116.25
9,2.544001,3895882.0
10,2.798,3740764.25
11,3.059,3594079.0
12,3.312005,3455410.5
13,3.561999,3324141.75
14,3.811001,3199648.75
15,4.072002,3081602.75
16,4.357007,2969561.25
17,4.626006,2863201.25
18,4.881001,2761973.25
19,5.14,2665625.25
20,5.396999,2573905.25
21,5.651001,2486512.5
22,5.904002,2403094.25
23,6.163,2323514.75
24,6.421038,2247473.25
25,6.673002,2174737.25
26,6.924004,2105176.5
27,7.191004,2038558.25
28,7.446002,1974769.125
29,7.699999,1913625.0
30,7.970001,1854930.375
31,8.239001,1798627.75
32,8.496001,1744522.25
33,8.744,1692567.875
34,8.996003,1642613.0
35,9.253001,1594508.125
36,9.503003,1548202.0
37,9.750034,1503601.125
38,10.009001,1460600.25
39,10.268001,1419100.625
40,10.523001,1379095.75
41,10.765001,1340431.625
42,11.047,1303109.75
43,11.303999,1267020.875
44,11.555001,1232139.5
45,11.815002,1198418.125
46,12.077001,1165779.625
47,12.335002,1134189.875
48,12.591002,1103582.0
49,12.841001,1073945.5
50,13.107006,1045217.375
51,13.367001,1017387.5625
52,13.614001,990383.9375
53,13.862001,964187.5625
54,14.128,938756.5625
55,14.384001,914103.5625
56,14.633001,890132.6875
57,14.883006,866855.8125
58,15.147001,844239.4375
59,15.411002,822265.75
60,15.662001,800915.0
61,15.908001,780150.375
62,16.173,759957.625
63,16.428001,740317.625
64,16.685,721234.0625
65,16.963005,702639.0625
66,17.233001,684555.75
67,17.503001,666967.375
68,17.753001,649814.3125
69,18.02,633129.125
70,18.276002,616885.125
71,18.529007,601066.8125
72,18.776009,585635.375
73,19.043002,570605.5625
74,19.295001,555970.625
75,19.546002,541708.0
76,19.796008,527807.8125
77,20.099001,514262.15625
78,20.371002,501064.28125
79,20.631003,488191.59375
80,20.897001,475653.09375
81,21.157006,463425.65625
82,21.432001,451508.125
83,21.705001,439879.78125
84,21.984,428556.3125
85,22.244,417507.1875
86,22.520001,406729.71875
87,22.784,396225.1875
88,23.041,385978.5625
89,23.291006,375985.28125
90,23.545001,366241.59375
91,23.812,356747.4375
92,24.067001,347477.15625
93,24.320001,338444.65625
94,24.619034,329636.5625
95,24.868001,321050.5
96,25.117036,312678.53125
97,25.382001,304511.71875
98,25.638002,296549.6875
99,25.893,288785.15625
100,26.147,281216.53125
101,26.422007,273836.6875
102,26.686,266643.0
103,26.944002,259628.484375
104,27.206,252791.03125
105,27.49,246121.125
106,27.748002,239626.65625
107,28.003005,233287.640625
108,28.272002,227111.296875
109,28.555001,221089.171875
110,28.844999,215223.484375
111,29.1,209503.1875
112,29.356,203924.921875
113,29.608,198493.25
114,29.879999,193195.078125
115,30.142006,188037.703125
116,30.403001,183006.84375
117,30.660001,178105.078125
118,30.924001,173325.734375
119,31.181002,168672.1875
120,31.432,164135.0625
121,31.680001,159715.53125
122,31.946002,155410.09375
123,32.202002,151210.265625
124,32.450002,147124.125
125,32.705001,143139.1875
126,32.967,139259.84375
127,33.220002,135481.15625
128,33.470001,131797.828125
129,33.716004,128212.3125
130,34.006005,124714.1875
131,34.301,121314.1875
132,34.569005,117996.09375
133,34.839003,114768.390625
134,35.114005,111623.7734375
135,35.375001,108560.421875
136,35.635,105578.4921875
137,35.908001,102673.921875
138,36.179003,99845.71875
139,36.437001,97092.234375
140,36.691001,94413.125
141,36.943,91802.3671875
142,37.2,89262.4765625
143,37.469037,86789.265625
144,37.746999,84383.015625
145,38.008999,82038.765625
146,38.271001,79759.4609375
147,38.545001,77539.1484375
148,38.797002,75379.734375
149,39.047001,73277.7421875
150,39.340002,71232.3125
151,39.618,69242.0546875
152,39.878006,67305.984375
153,40.149001,65420.42578125
154,40.419002,63586.53125
155,40.679001,61802.5703125
156,40.941,60065.14453125
157,41.210001,58376.5234375
158,41.462004,56733.83203125
159,41.712001,55134.4375
160,41.974004,53578.59375
161,42.229001,52066.35546875
162,42.475001,50594.65625
163,42.719006,49164.875
164,42.996001,47773.7734375
165,43.255008,46419.51171875
166,43.504005,45103.0546875
167,43.761001,43822.46875
168,44.029999,42577.37890625
169,44.285003,41366.4921875
170,44.542002,40189.58984375
171,44.806004,39045.20703125
172,45.069998,37931.55859375
173,45.341004,36849.89453125
174,45.605003,35797.7890625
175,45.865002,34774.84765625
176,46.123001,33779.29296875
177,46.381004,32812.19921875
178,46.629006,31871.453125
179,46.91,30958.0546875
180,47.182001,30069.609375
181,47.450001,29205.833984375
182,47.713,28365.822265625
183,47.973001,27550.259765625
184,48.229,26757.1875
185,48.489004,25985.490234375
186,48.753002,25235.705078125
187,49.018003,24507.421875
188,49.275001,23798.82421875
189,49.532,23110.875
190,49.788,22441.91796875
191,50.043005,21792.1796875
192,50.29,21160.564453125
193,50.548005,20547.037109375
194,50.810002,19950.62109375
195,51.074006,19370.939453125
196,51.329,18808.333984375
197,51.613003,18261.052734375
198,51.902,17729.75
199,52.179,17213.771484375
200,52.45,16711.853515625
201,52.712999,16224.3037109375
202,52.959,15751.07421875
203,53.218,15291.2255859375
204,53.487002,14844.1171875
205,53.74,14409.849609375
206,53.986002,13988.2958984375
207,54.277004,13578.8076171875
208,54.548001,13180.658203125
209,54.814006,12793.779296875
210,55.078003,12418.3662109375
211,55.328001,12053.7509765625
212,55.578,11699.232421875
213,55.836002,11355.41796875
214,56.106034,11021.41015625
215,56.379001,10696.9765625
216,56.639005,10382.212890625
217,56.944005,10076.380859375
218,57.212001,9779.23046875
219,57.486004,9491.0703125
220,57.756001,9211.0390625
221,58.044001,8939.0791015625
222,58.310009,8675.3193359375
223,58.578005,8418.9453125
224,58.850005,8170.3369140625
225,59.111001,7929.0498046875
226,59.409001,7694.62255859375
227,59.666,7467.126953125
228,59.923001,7246.673828125
229,60.203001,7032.31396484375
230,60.467009,6824.36328125
231,60.720001,6622.46044921875
232,61.012005,6426.78369140625
233,61.276003,6237.0400390625
234,61.528,6052.6904296875
235,61.777005,5873.83837890625
236,62.039001,5700.37060546875
237,62.297001,5532.3955078125
238,62.551,5369.4521484375
239,62.806002,5211.296875
240,63.07,5057.95654296875
241,63.339,4909.41015625
242,63.597001,4765.22216796875
243,63.863004,4625.30517578125
244,64.123001,4489.66455078125
245,64.380001,4358.28662109375
246,64.632001,4230.61474609375
247,64.906045,4106.947265625
248,65.170002,3987.199462890625
249,65.422003,3870.857666015625
250,65.669,3758.343994140625
251,65.954004,3649.148193359375
252,66.238002,3543.472900390625
253,66.509002,3440.975341796875
254,66.772034,3341.622314453125
255,67.039004,3245.21533203125
256,67.299,3151.970703125
257,67.557003,3061.608154296875
258,67.834003,2973.96630859375
259,68.100998,2889.12060546875
260,68.362003,2806.906005859375
261,68.655001,2727.150146484375
262,68.918002,2649.952880859375
263,69.213002,2575.15283203125
264,69.507003,2502.7060546875
265,69.781001,2432.626953125
266,70.048,2364.559814453125
267,70.315003,2298.6171875
268,70.573005,2235.008544921875
269,70.838002,2173.19921875
270,71.105002,2113.388916015625
271,71.373003,2055.600341796875
272,71.639003,1999.56689453125
273,71.920002,1945.4293212890625
274,72.184007,1892.978271484375
275,72.455002,1842.1484375
276,72.743005,1792.972900390625
277,73.008,1745.484375
278,73.270002,1699.328857421875
279,73.557003,1654.81298828125
280,73.830005,1611.6676025390625
281,74.096001,1569.9088134765625
282,74.366001,1529.518798828125
283,74.638005,1490.3260498046875
284,74.911003,1452.3800048828125
285,75.186002,1415.7200927734375
286,75.447001,1380.2373046875
287,75.702,1345.775634765625
288,75.967002,1312.4256591796875
289,76.226001,1280.1075439453125
290,76.477,1248.9415283203125
291,76.759002,1218.7398681640625
292,77.032008,1189.4415283203125
293,77.318,1161.013916015625
294,77.574005,1133.6153564453125
295,77.847001,1106.9925537109375
296,78.114002,1081.185546875
297,78.370001,1056.2718505859375
298,78.625001,1032.0892333984375
299,78.888037,1008.6515502929688
300,79.143001,985.9554443359375
301,79.394002,963.915771484375
302,79.697,942.5770263671875
303,79.951001,921.9304809570312
304,80.209,901.8989868164062
305,80.502007,882.4413452148438
306,80.771001,863.5858154296875
307,81.035001,845.2747192382812
308,81.301001,827.4727172851562
309,81.567033,810.2008666992188
310,81.82,793.42724609375
311,82.076001,777.1420288085938
312,82.345999,761.390869140625
313,82.616001,746.0068969726562
314,82.877003,731.0896606445312
315,83.143001,716.540771484375
316,83.397998,702.445068359375
317,83.65,688.7501220703125
318,83.934,675.347900390625
319,84.220002,662.3521118164062
320,84.489006,649.7413940429688
321,84.772005,637.3784790039062
322,85.026001,625.3748168945312
323,85.275001,613.7385864257812
324,85.520001,602.3880004882812
325,85.777006,591.4713134765625
326,86.045,580.9346313476562
327,86.303,570.9412231445312
328,86.549001,561.6673583984375
329,86.816004,552.3285522460938
330,87.075001,544.0818481445312
331,87.326999,534.4009399414062
332,87.580025,526.43115234375
333,87.856002,516.4710083007812
334,88.118,508.7183837890625
335,88.368,499.0909423828125
336,88.638,491.73443603515625
337,88.906034,482.5337829589844
338,89.165,475.55316162109375
339,89.418007,466.844970703125
340,89.677002,460.3214111328125
341,89.935001,451.99072265625
342,90.191001,445.8942565917969
343,90.442002,437.7946472167969
344,90.706002,432.09490966796875
345,90.979,424.3434143066406
346,91.230002,419.1094665527344
347,91.483005,411.5709533691406
348,91.737999,406.65167236328125
349,92.000001,399.2376403808594
350,92.271,394.6665344238281
351,92.526003,387.48065185546875
352,92.823005,383.24725341796875
353,93.098001,376.1589660644531
354,93.368002,372.1918640136719
355,93.623,365.4274597167969
356,93.896,361.7561950683594
357,94.189035,355.05926513671875
358,94.453001,351.6887512207031
359,94.711001,345.2097473144531
360,94.966001,342.1041564941406
361,95.245004,335.7091979980469
362,95.527003,332.8697509765625
363,95.795002,326.62969970703125
364,96.058,323.9687194824219
365,96.327001,317.8644104003906
366,96.581001,315.37213134765625
367,96.850001,309.4029235839844
368,97.115035,307.22601318359375
369,97.369999,301.39447021484375
370,97.625001,299.4531555175781
371,97.930001,293.73651123046875
372,98.209,292.0730895996094
373,98.506004,286.35498046875
374,98.806002,284.7572021484375
375,99.061001,279.1473693847656
376,99.32,277.7183532714844
377,99.579,272.288818359375
378,99.836,270.9738464355469
379,100.094,265.60888671875
380,100.383,264.4407958984375
381,100.646003,259.2959289550781
382,100.907,258.18487548828125
383,101.163005,253.11460876464844
384,101.421001,252.07369995117188
385,101.669001,247.18661499023438
386,101.924002,246.18963623046875
387,102.195001,241.4541473388672
388,102.472001,240.49188232421875
389,102.736001,236.09799194335938
390,103.000001,235.3360595703125
391,103.262002,231.54220581054688
392,103.525001,231.73977661132812
393,103.787,230.02362060546875
394,104.046998,231.78453063964844
395,104.310003,233.4443817138672
396,104.572,229.6680145263672
397,104.836999,232.31436157226562
398,105.097002,222.51373291015625
399,105.353004,222.80743408203125
400,105.607005,214.41867065429688
401,105.888007,213.01727294921875
402,106.174003,207.37269592285156
403,106.445006,205.67523193359375
404,106.706002,202.3349609375
405,106.969001,201.47198486328125
406,107.222007,200.02951049804688
407,107.476,199.19180297851562
408,107.741002,199.10545349121094
409,107.996001,197.0673370361328
410,108.249002,202.52342224121094
411,108.528005,198.546142578125
412,108.795999,207.45518493652344
413,109.050001,196.53744506835938
414,109.302001,200.55606079101562
415,109.561005,191.76214599609375
416,109.813001,193.22288513183594
417,110.063001,185.85305786132812
418,110.408999,185.5229034423828
419,110.683005,179.9715118408203
420,110.952001,179.1455535888672
421,111.209002,175.18411254882812
422,111.466003,174.6497039794922
423,111.715002,171.8510284423828
424,111.967,172.14154052734375
425,112.247001,170.3021240234375
426,112.510002,171.70291137695312
427,112.769001,170.93373107910156
428,113.027001,173.54876708984375
429,113.300001,174.43502807617188
430,113.563002,174.43753051757812
431,113.813001,175.15757751464844
432,114.091,170.9299774169922
433,114.358002,169.81227111816406
434,114.621001,165.88018798828125
435,114.888001,163.50230407714844
436,115.161001,161.12075805664062
437,115.421,159.12229919433594
438,115.683,159.92822265625
439,115.943008,159.17320251464844
440,116.200004,165.22409057617188
441,116.456006,160.4237060546875
442,116.717001,167.53668212890625
443,117.000005,159.7476043701172
444,117.261002,163.767822265625
445,117.537035,157.37161254882812
446,117.803,159.82174682617188
447,118.054001,154.4241943359375
448,118.309002,155.90469360351562
449,118.611005,151.44195556640625
450,118.893002,152.52560424804688
451,119.161001,148.8474884033203
452,119.421002,149.43878173828125
453,119.792031,146.9432830810547
454,120.090003,147.181884765625
455,120.370004,146.2963409423828
456,120.632001,146.2788848876953
457,120.894001,147.15403747558594
458,121.146001,145.81646728515625
459,121.404002,147.6589813232422
460,121.671004,145.63516235351562
461,121.930033,147.2310028076172
462,122.184036,146.30184936523438
463,122.458001,145.80487060546875
464,122.716002,146.22012329101562
465,122.971005,142.43141174316406
466,123.249001,144.75311279296875
467,123.508,140.0367431640625
468,123.856,143.78378295898438
469,124.140999,139.5543212890625
470,124.403001,143.32618713378906
471,124.662,138.7639923095703
472,124.921999,141.34165954589844
473,125.185,136.5993194580078
474,125.441005,137.85504150390625
475,125.698,133.59683227539062
476,125.955999,133.9081268310547
477,126.226999,131.21444702148438
478,126.484002,132.00936889648438
479,126.744001,132.2942657470703
480,127.020001,134.41912841796875
481,127.275004,135.90109252929688
482,127.521001,133.09832763671875
483,127.784,132.4462127685547
484,128.039001,128.90997314453125
485,128.285,128.49807739257812
486,128.529002,126.39273071289062
487,128.813037,127.22760009765625
488,129.075998,126.1275863647461
489,129.333002,128.10939025878906
490,129.625002,126.71573638916016
491,129.881002,128.81813049316406
492,130.145002,126.52653503417969
493,130.403,128.72406005859375
494,130.667006,126.39347076416016
495,130.927001,129.76869201660156
496,131.183001,131.16961669921875
497,131.436003,134.65069580078125
498,131.702001,139.7427215576172
499,131.965007,131.6226806640625
