step_num,elapsed_seconds,loss
0,0.209999,5807075.0
1,0.461,64438856.0
2,0.723998,137254192.0
3,0.974999,95484432.0
4,1.221999,25998562.0
5,1.485007,8941368.0
6,1.751999,5010541.0
7,2.005,3443860.25
8,2.255007,2606699.5
9,2.506999,2090928.375
10,2.761998,1723700.875
11,3.012004,1453883.375
12,3.260007,1249096.375
13,3.524,1083581.75
14,3.786999,947745.875
15,4.037,834224.9375
16,4.287999,741186.3125
17,4.556999,657184.75
18,4.818,587272.5
19,5.100006,525838.3125
20,5.368997,469945.875
21,5.635003,420643.0625
22,5.892002,377998.96875
23,6.142,338103.0625
24,6.420003,302607.71875
25,6.683999,271361.375
26,6.929999,242089.1875
27,7.180998,216540.1875
28,7.456004,193688.375
29,7.734012,172702.421875
30,7.998998,153599.140625
31,8.290006,136584.171875
32,8.537003,121216.453125
33,8.785001,107686.625
34,9.053001,95334.4375
35,9.348034,84282.8828125
36,9.61701,74466.0859375
37,9.877001,65788.0703125
38,10.131996,58105.5234375
39,10.381996,51152.3359375
40,10.632,45043.85546875
41,10.892004,39774.140625
42,11.151999,35099.0546875
43,11.540006,30889.22265625
44,11.825003,27253.484375
45,12.086035,24101.537109375
46,12.341004,21356.609375
47,12.616999,18950.669921875
48,12.866,16830.12890625
49,13.167036,14982.3662109375
50,13.428005,13367.244140625
51,13.680999,11972.91796875
52,13.929995,10769.2255859375
53,14.230999,9714.572265625
54,14.479999,8788.5791015625
55,14.732999,7979.0390625
56,14.990998,7270.05712890625
57,15.252002,6646.02734375
58,15.507008,6096.16064453125
59,15.753997,5608.76416015625
60,16.015,5171.5849609375
61,16.276007,4778.62060546875
62,16.536998,4430.615234375
63,16.790997,4123.728515625
64,17.045001,3851.12158203125
65,17.353998,3604.728515625
66,17.601,3379.0029296875
67,17.850999,3173.630859375
68,18.117008,2986.396728515625
69,18.382,2816.762939453125
70,18.644999,2662.913330078125
71,18.938999,2522.585693359375
72,19.193999,2394.10888671875
73,19.445998,2276.20068359375
74,19.708998,2167.674072265625
75,19.966998,2067.53076171875
76,20.314999,1974.786865234375
77,20.594999,1888.5518798828125
78,20.878999,1808.419189453125
79,21.164033,1733.9901123046875
80,21.443997,1664.55126953125
81,21.698998,1599.7476806640625
82,21.955999,1539.1461181640625
83,22.212001,1482.3695068359375
84,22.474999,1429.1046142578125
85,22.729998,1379.067626953125
86,22.984006,1331.9730224609375
87,23.238998,1287.60888671875
88,23.49,1245.904052734375
89,23.738,1206.66162109375
90,24.025999,1169.6470947265625
91,24.279999,1134.7158203125
92,24.532008,1101.658203125
93,24.783,1070.33154296875
94,25.052001,1040.65478515625
95,25.317029,1012.5617065429688
96,25.567001,985.995361328125
97,25.843,960.8306274414062
98,26.110008,936.9548950195312
99,26.367999,914.3019409179688
100,26.624,892.7906494140625
101,26.873999,872.3453369140625
102,27.13,852.9119262695312
103,27.375998,834.43212890625
104,27.624997,816.837646484375
105,27.885998,800.0970458984375
106,28.186002,784.153564453125
107,28.492001,768.9542846679688
108,28.749999,754.4324340820312
109,29.015998,740.552001953125
110,29.275999,727.2719116210938
111,29.531998,714.5650634765625
112,29.787,702.3855590820312
113,30.042998,690.7136840820312
114,30.294999,679.5109252929688
115,30.543999,668.7651977539062
116,30.805999,658.4430541992188
117,31.065999,648.519287109375
118,31.320999,638.9795532226562
119,31.570999,629.7959594726562
120,31.836998,620.9446411132812
121,32.097997,612.4076538085938
122,32.352001,604.1625366210938
123,32.622998,596.1948852539062
124,32.896999,588.4993286132812
125,33.157995,581.0634155273438
